"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"25Q4XFCB","journalArticle","1999","Barabási, Albert-László; Albert, Réka","Emergence of Scaling in Random Networks","Science","","","10.1126/science.286.5439.509","https://www.science.org/doi/full/10.1126/science.286.5439.509","Systems as diverse as genetic networks or the World Wide Web are best described as networks with complex topology. A common property of many large networks is that the vertex connectivities follow a scale-free power-law distribution. This feature was found to be a consequence of two generic mechanisms: (i) networks expand continuously by the addition of new vertices, and (ii) new vertices attach preferentially to sites that are already well connected. A model based on these two ingredients reproduces the observed stationary scale-free distributions, which indicates that the development of large networks is governed by robust self-organizing phenomena that go beyond the particulars of the individual systems.","1999-10-15","2023-11-12 23:58:01","2023-11-12 23:58:01","2023-11-12 23:58:01","509-512","","5439","286","","","","","","","","","","","","","","","science.org (Atypon)","","Publisher: American Association for the Advancement of Science","","C:\Users\maroa\Zotero\storage\448BQWDL\Barabási and Albert - 1999 - Emergence of Scaling in Random Networks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KU3HTDEV","journalArticle","1960","Erd\Hos, Paul; Rényi, Alfréd","On the evolution of random graphs","Publ. math. inst. hung. acad. sci","","","","https://static.renyi.hu/~p_erdos/1960-10.pdf","","1960","2023-11-13 00:05:46","2023-11-13 00:05:46","2023-11-13 00:05:46","17–60","","1","5","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\maroa\Zotero\storage\4CWBIK6E\ErdHos and Rényi - 1960 - On the evolution of random graphs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKV7NWYF","journalArticle","2023","Jiang, Cheng; Sun, Qian; Ye, Tanglin; Wang, Qingyun","Identification of systemically important financial institutions in a multiplex financial network: A multi-attribute decision-based approach","Physica A: Statistical Mechanics and its Applications","","0378-4371","10.1016/j.physa.2023.128446","https://www.sciencedirect.com/science/article/pii/S0378437123000018","The identification of systemically important financial institutions (SIFIs) is vital to prevent and control systemical financial risk. Recently, network-based methods have been widely used to identify SIFIs by considering the complex relationship of financial institutions. However, most existing network-based methodologies typically use a single measure. In this study, we first identify SIFIs from three different perspectives, including the market value of financial institutions, the correlation between financial institutions, and the risk spillover between financial institutions. Then, we first employ the stock price volatility and investor sentiment data to form a multiplex financial network with four layers based on variance decompositions and correlation-based methods. Moreover, by incorporating features of the multiplex financial network and institutions’ market value, we identify SIFIs with technique for order preference by similarity to an ideal solution (TOPSIS). Furthermore, we conduct an empirical analysis of the Chinese financial market from 2016 to 2020. The results indicate that national commercial banks and Internet financial securities play an essential role in the Chinese financial system during the period, while insurances are not sensitive to price volatility and investors’ sentiment. Compared with existing methods, the proposed approach is valid to identify SIFIs from multiple perspectives, which can be generalized to other regional financial markets for identifying SIFIs.","2023-02-01","2023-11-13 00:11:03","2024-01-10 22:13:02","2023-11-13 00:11:03","128446","","","611","","Physica A: Statistical Mechanics and its Applications","Identification of systemically important financial institutions in a multiplex financial network","","","","","","","","","","","","ScienceDirect","","","","; C:\Users\maroa\Zotero\storage\94WGHWE4\Jiang et al. - 2023 - Identification of systemically important financial.pdf; C:\Users\maroa\Zotero\storage\IEUWU46X\S0378437123000018.html","notion://www.notion.so/Jiang-et-al-2023-5b10aa98205744b198131bb6f833c601","notion","Financial networks; Multiplex networks; Systemically important financial institutions; Financial markets; Multi-attribute decision","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9BWJGDPY","conferencePaper","2021","Tian, Xiao; Das, Mahashweta; Chetia, Chiranjeet","Generating Large-Scale Synthetic Payment Graphs with Realistic Fraudulent and Money Laundering Patterns","KDD-MLF ’21: KDD Workshop on Machine Learning in Finance, August 2021, Singapore.","","","","","Financial service corporations and payment companies across the globe have vast amounts of privately held transaction data that can be useful for a wide variety of AI-powered solutions such as detecting fraud, improving customer experience, automating key operations, etc. However, the public availability of these real-world financial datasets is scarce because of the sensitive nature of the data. Existing synthetic payment data generators are dependent on a sample of real financial data-that, may or may not be available-in order to generate synthetic transaction data. In this work, we propose a synthetic data generator that leverages transaction meta-data, statistics, and domain knowledge and generates large-scale payment network data. We consider real-time payment (RTP) network as a use-case to demonstrate our synthetic payment generator. Our highly configurable synthetic data generator not only includes normal transactions, but also a wide variety of realistic fraudulent transactions and money laundering patterns. This is especially critical since these anomalous components help AI models learn the good and bad transactions in the data.","2021-08-15","2023-12-10 21:33:58","2024-03-05 20:05:56","","","","","","","","","","","","","ACM","New York, NY, USA","","","","","","ResearchGate","","","","C:\Users\maroa\Zotero\storage\YTC9BV9V\Tian et al. - 2021 - Generating Large-Scale Synthetic Payment Graphs wi.pdf; ; ","notion://www.notion.so/Tian-et-al-2021-7f2e3b1e163047c6a570e9998aa822c4; https://www.researchgate.net/profile/Xiao-Tian-24/publication/362381587_Generating_Large-Scale_Synthetic_Payment_Graphs_with_Realistic_Fraudulent_and_Money_Laundering_Patterns/links/62e6d6c53c0ea8788770a5db/Generating-Large-Scale-Synthetic-Payment-Graphs-with-Realistic-Fraudulent-and-Money-Laundering-Patterns.pdf","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2UXYL2J","journalArticle","2019","O'Halloran, Sharyn; Nowaczyk, Nikolai","An Artificial Intelligence Approach to Regulating Systemic Risk","Frontiers in Artificial Intelligence","","2624-8212","10.3389/frai.2019.00007","https://www.frontiersin.org/article/10.3389/frai.2019.00007/full","","2019-05-29","2023-12-10 21:38:25","2024-01-10 22:29:20","2023-12-10 21:38:25","7","","","2","","Front. Artif. Intell.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","; C:\Users\maroa\Zotero\storage\8U3VGCXX\O'Halloran and Nowaczyk - 2019 - An Artificial Intelligence Approach to Regulating .pdf","notion://www.notion.so/O-Halloran-Nowaczyk-2019-a2a3618090f44cb7ad04e1db14cf4d16","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4U4W4RI6","journalArticle","2016","Amini, Hamed; Minca, Andreea","Inhomogeneous Financial Networks and Contagious Links","Operations Research","","0030-364X","10.1287/opre.2016.1540","https://pubsonline.informs.org/doi/abs/10.1287/opre.2016.1540","We propose a framework for testing the possibility of large cascades in financial networks. This framework accommodates a variety of specifications for the probabilities of emergence of “contagious links” conditional on a macroeconomic shock, where a contagious link leads to the default of a bank following the default of its counterparty. Under general contagion mechanisms and incomplete information, the financial network is modeled as an inhomogeneous random graph, where the conditional probabilities of having contagious links depend on banks’ characteristics. We give different bounds on the size of the cascade through contagious links and derive testable conditions for this cascade to be small.","2016-10","2023-12-10 21:54:21","2024-01-10 23:38:32","2023-12-10 21:54:21","1109-1120","","5","64","","","","","","","","","","","","","","","pubsonline.informs.org (Atypon)","","Publisher: INFORMS","","C:\Users\maroa\Zotero\storage\GL6GZ7ER\Amini and Minca - 2016 - Inhomogeneous Financial Networks and Contagious Li.pdf; ","notion://www.notion.so/Amini-Minca-2016-f7ebf0ec5a0f4a378502cf1b10065442","notion","systemic risk; financial stability; interbank network; complex networks; default contagion; inhomogeneous random graph; phase transitions; sharp threshold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33NU2VWK","preprint","2023","Altman, Erik; Blanuša, Jovan; von Niederhäusern, Luc; Egressy, Béni; Anghel, Andreea; Atasu, Kubilay","Realistic Synthetic Financial Transactions for Anti-Money Laundering Models","","","","10.48550/arXiv.2306.16424","http://arxiv.org/abs/2306.16424","With the widespread digitization of finance and the increasing popularity of cryptocurrencies, the sophistication of fraud schemes devised by cybercriminals is growing. Money laundering -- the movement of illicit funds to conceal their origins -- can cross bank and national boundaries, producing complex transaction patterns. The UN estimates 2-5\% of global GDP or \$0.8 - \$2.0 trillion dollars are laundered globally each year. Unfortunately, real data to train machine learning models to detect laundering is generally not available, and previous synthetic data generators have had significant shortcomings. A realistic, standardized, publicly-available benchmark is needed for comparing models and for the advancement of the area. To this end, this paper contributes a synthetic financial transaction dataset generator and a set of synthetically generated AML (Anti-Money Laundering) datasets. We have calibrated this agent-based generator to match real transactions as closely as possible and made the datasets public. We describe the generator in detail and demonstrate how the datasets generated can help compare different Graph Neural Networks in terms of their AML abilities. In a key way, using synthetic data in these comparisons can be even better than using real data: the ground truth labels are complete, whilst many laundering transactions in real data are never detected.","2023-10-29","2023-12-11 11:55:45","2024-01-10 23:50:34","2023-12-11 11:55:45","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2306.16424 [cs, q-fin]","","C:\Users\maroa\Zotero\storage\WA4I5F3K\Altman et al. - 2023 - Realistic Synthetic Financial Transactions for Ant.pdf; C:\Users\maroa\Zotero\storage\2RRY98XY\2306.html; ","notion://www.notion.so/Altman-et-al-2023-c639fcabcd1048a291a71ad4cbc9476e","notion","Computer Science - Machine Learning; Quantitative Finance - Computational Finance; Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","arXiv:2306.16424","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X82JLSEP","journalArticle","2023","Balmaseda, Vicente; Coronado, María; de Cadenas-Santiago, Gonzalo","Predicting systemic risk in financial systems using Deep Graph Learning","Intelligent Systems with Applications","","2667-3053","10.1016/j.iswa.2023.200240","https://www.sciencedirect.com/science/article/pii/S2667305323000650","Systemic risk is the risk of infection from an individual financial entity to the financial system due to existing interconnections. Having powerful tools to analyze and predict systemic risk in large financial networks is essential to ensure the stability of the financial system, avoiding the negative externalities derived from the failure of a systemically important financial institution. In this context, Machine Learning (ML) has proved to be a useful tool thanks to its ability to deal with complex relations. However, traditional techniques are limited in their use of the interactions between entities and the network structure, which has been shown to be of great importance for systemic risk. Thus, this work proposes Graph Neural Networks (GNNs) for systemic risk analysis. GNNs use the network structure and feature information to deal with large-scale financial networks, providing the benefits of ML while using all the available information (node inter-relations and node, edge, and graph features). We also present C2R, an approach to reduce the pre-labeling effort for costly systemic risk metrics by pre-labeling into a small number of classes while predicting continuous risk scores. We have tested GNNs against traditional ML in classifying entities by systemic risk importance in two different networks, comparing their generalization capabilities with different amounts of available data. GNNs achieve a 94% and 15% Matthew's Correlation Coefficient (MCC) average percentage increase compared to ML, achieving statistically significant MCC improvements in most scenarios. When combining C2R with GNNs to predict the systemic risk quantile from the class labels, the models achieve statistically significant improvements in the quantile RMSE. From our experiments, we can confirm that GNN models are better suited for systemic risk prediction on financial networks and should be preferred over traditional Machine Learning. The results obtained also confirm the fact that the network structure and the features of the relations (edge features) hold useful information for our task.","2023-09-01","2023-12-12 20:55:26","2024-01-11 00:02:27","2023-12-12 20:55:26","200240","","","19","","Intelligent Systems with Applications","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\maroa\Zotero\storage\6PFXTQY5\Balmaseda et al. - 2023 - Predicting systemic risk in financial systems usin.pdf; ; C:\Users\maroa\Zotero\storage\NAZCYFQS\S2667305323000650.html","notion://www.notion.so/Balmaseda-et-al-2023-9ef73dea13fb4619abb11e29c7d58026","notion","Financial networks modeling; Graph neural networks (GNN); Label regression; Model selection; Network simulation; Neural networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBWSNVAF","journalArticle","2021","Prusti, Debachudamani; Das, Daisy; Rath, Santanu Kumar","Credit Card Fraud Detection Technique by Applying Graph Database Model","Arabian Journal for Science and Engineering","","2191-4281","10.1007/s13369-021-05682-9","https://doi.org/10.1007/s13369-021-05682-9","Digital transactions using credit cards are observed to be increasing day by day because of the convenience in operation. It is a matter of great concern for credit card users as well as financial institutions, providing credit card facilities for making the transactions free from possible frauds being carried out by fraudsters. The fraudsters apply different methodologies and alter their behaviours to undertake the fraudulent activities in both online and offline mode with some advanced techniques. Hence, developing a fraud detection system to identify the fraudulent activities is an important area of research to improve the credibility of credit card-based digital transactions. In this study, a fraud detection system has been proposed based on application of graph database model. The graph features being extracted using Neo4j tool are incorporated with several other features of transaction database. Subsequently, five supervised and two unsupervised machine learning algorithms are applied to them in order to detect fraudulent transactions explicitly. The features directly obtained from the transactional data are also tested with the classification models for detecting the fraudulent transactions. Critical assessment for performance of the machine learning algorithms has been carried out based on the features extracted from graph database and features extracted directly from the transaction database.","2021-09-01","2023-12-12 21:08:24","2024-01-09 23:48:09","2023-12-12 21:08:24","1-20","","9","46","","Arab J Sci Eng","","","","","","","","en","","","","","Springer Link","","","","C:\Users\maroa\Zotero\storage\SC8E892P\Prusti et al. - 2021 - Credit Card Fraud Detection Technique by Applying .pdf; ","notion://www.notion.so/Prusti-et-al-2021-a2fd51b551cd4f2d8758ee47e806a9d7","notion","Credit card fraud detection; Graph database model; Graph feature; Neo4j tool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3Z3LU58","conferencePaper","2016","Soltani, Reza; Nguyen, Uyen Trang; Yang, Yang; Faghani, Mohammad; Yagoub, Alaa; An, Aijun","A new algorithm for money laundering detection based on structural similarity","2016 IEEE 7th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","","","10.1109/UEMCON.2016.7777919","https://ieeexplore.ieee.org/abstract/document/7777919","Money Laundering (ML) is the process of cleaning “dirty” money, thereby making the source of funds no longer identifiable. Detecting money laundering activities is a challenging task due to huge volumes of financial transactions being made in a global market on a daily basis. This paper proposes a novel approach for detecting money laundering transactions among large volumes of financial data in an efficient and accurate manner. We propose a framework that applies case reduction methods to progressively reduce the input data set to a significantly smaller size. The framework then scans the reduced data to find pairs of transactions with common attributes and behaviours that are potentially involved in ML activities. It then applies a clustering method to detect potential ML groups. We present preliminary experimental results that demonstrate the effectiveness of the proposed framework.","2016-10","2023-12-12 21:13:32","2024-01-09 23:52:21","2023-12-12 21:13:32","1-7","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\maroa\Zotero\storage\HLFRKKZP\7777919.html; C:\Users\maroa\Zotero\storage\DQ6MACKB\Soltani et al. - 2016 - A new algorithm for money laundering detection bas.pdf; ","notion://www.notion.so/Soltani-et-al-2016-c7e314509681467db9c817c222f17286","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 IEEE 7th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","","","","","","","","","","","","","","",""
"RDKBWEV6","conferencePaper","2019","Tsigkanos, Christos; Arleo, Alessio; Sorger, Johannes; Dustdar, Schahram","How Do Firms Transact? Guesstimation and Validation of Financial Transaction Networks with Satisfiability","2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI)","","","10.1109/IRI.2019.00017","https://ieeexplore.ieee.org/abstract/document/8843449","Knowledge of monetary flow between firms can give a significant advantage both from a profit or research point of view. So-called firm-to-firm transaction networks are valuable in analyzing a market or an economy. However, such detailed and complete data is seldom available. In this work, we aim at supporting economists by reusing available financial information from different sources at different levels of detail and completeness. With our technique, experts' domain knowledge can be fused together with publicly available information to extract a representative, coherent instance of the transaction network. Supporting underspecification is important, as experts may develop partial econometric models. Our technique fills such blanks by systematically guesstimating missing information. Our approach builds upon formal foundations of satisfiability modulo theories and thus obtained transaction networks respect constraints imposed by domain knowledge and input data sources. We outline a taxonomy of general data types in the domain, and we programmatically construct formal predicates describing them. We demonstrate both guestimation of missing information of a transaction network and validation of external, expert-provided models. Finally, we investigate feasibility and performance of the advocated technique over a fragment of the Austrian economy.","2019-07","2023-12-12 21:52:00","2024-01-11 00:13:51","2023-12-12 21:52:00","15-22","","","","","","How Do Firms Transact?","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\maroa\Zotero\storage\SZX3R4PI\8843449.html; C:\Users\maroa\Zotero\storage\A2MZ3PWQ\Tsigkanos et al. - 2019 - How Do Firms Transact Guesstimation and Validatio.pdf; ","notion://www.notion.so/Tsigkanos-et-al-2019-491a16cb1a6b477fb4a19649a4d4a5b2","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI)","","","","","","","","","","","","","","",""
"3FF55VH2","conferencePaper","2023","Zhang, Shuaicheng; Zhu, Yada; Zhou, Dawei","TGEditor: Task-Guided Graph Editing for Augmenting Temporal Financial Transaction Networks","4th ACM International Conference on AI in Finance","9798400702402","","10.1145/3604237.3626883","https://dl.acm.org/doi/10.1145/3604237.3626883","","2023-11-27","2023-12-12 21:59:05","2024-01-11 00:22:40","2023-12-12 21:59:05","219-226","","","","","","TGEditor","","","","","ACM","Brooklyn NY USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\M4NSA9Z7\Zhang et al. - 2023 - TGEditor Task-Guided Graph Editing for Augmenting.pdf; ","notion://www.notion.so/Zhang-et-al-2023-a98d3cfc85ab44ca88a30ff9221a9b88","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICAIF '23: 4th ACM International Conference on AI in Finance","","","","","","","","","","","","","","",""
"NKS4MM3P","report","2016","Lim, Seung-Hwan; Lee, Sangkeun; Powers, Sarah S; Shankar, Mallikarjun; Imam, Neena","Survey of Approaches to Generate Realistic Synthetic Graphs","","","","","http://www.osti.gov/servlets/purl/1339361/","","2016-10-01","2024-01-22 14:46:07","2024-01-22 14:55:41","2024-01-22 14:46:06","ORNL/TM--2016/3, 1339361","","","","","","","","","","","Oak Ridge National Laboratory","","en","","","","","DOI.org (Crossref)","","DOI: 10.2172/1339361","","C:\Users\maroa\Zotero\storage\GCBHHFDI\Lim et al. - 2016 - Survey of Approaches to Generate Realistic Synthet.pdf","","Important; Overview","","","","","","","","","","","","","","","","","","","","ORNL/TM--2016/3, 1339361","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89BLT592","journalArticle","2004","Park, Juyong; Newman, M. E. J.","Statistical mechanics of networks","Physical Review E","","1539-3755, 1550-2376","10.1103/PhysRevE.70.066117","https://link.aps.org/doi/10.1103/PhysRevE.70.066117","","2004-12-07","2024-01-22 17:01:10","2024-01-22 17:01:10","2024-01-22 17:01:10","066117","","6","70","","Phys. Rev. E","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\maroa\Zotero\storage\D6I2SAJ3\Park and Newman - 2004 - Statistical mechanics of networks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5K8FG32","journalArticle","2022","Nagy, Marcell; Molontay, Roland","Network classification-based structural analysis of real networks and their model-generated counterparts","Network Science","","2050-1242, 2050-1250","10.1017/nws.2022.14","https://www.cambridge.org/core/journals/network-science/article/network-classificationbased-structural-analysis-of-real-networks-and-their-modelgenerated-counterparts/44C79234EAF40C5F02A340E15CD8F638","Data-driven analysis of complex networks has been in the focus of research for decades. An important area of research is to study how well real networks can be described with a small selection of metrics, furthermore how well network models can capture the relations between graph metrics observed in real networks. In this paper, we apply machine-learning techniques to investigate the aforementioned problems. We study 500 real-world networks along with 2000 synthetic networks generated by four frequently used network models with previously calibrated parameters to make the generated graphs as similar to the real networks as possible. This paper unifies several branches of data-driven complex network analysis, such as the study of graph metrics and their pair-wise relationships, network similarity estimation, model calibration, and graph classification. We find that the correlation profiles of the structural measures significantly differ across network domains and the domain can be efficiently determined using a small selection of graph metrics. The structural properties of the network models with fixed parameters are robust enough to perform parameter calibration. The goodness-of-fit of the network models highly depends on the network domain. By solving classification problems, we find that the models lack the capability of generating a graph with a high clustering coefficient and relatively large diameter simultaneously. On the other hand, models are able to capture exactly the degree-distribution-related metrics.","2022-06","2024-01-23 01:21:42","2024-01-23 01:21:42","2024-01-23 01:21:42","146-169","","2","10","","","","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","C:\Users\maroa\Zotero\storage\PDGHKVWR\Nagy and Molontay - 2022 - Network classification-based structural analysis o.pdf","","","complex networks; network models; domain prediction; model calibration; model stability; network characteristics; network classification; network similarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6K7LYET5","bookSection","2016","Hurd, T. R.","Random Graph Models","Contagion! Systemic Risk in Financial Networks","978-3-319-33930-6","","","https://doi.org/10.1007/978-3-319-33930-6_3","The network of interbank counterparty relationships, or skeleton, is the random graph that acts as the medium through which financial contagion is propagated. The basic properties are developed for several promising families of random graph constructions including configuration graphs and inhomogeneous random graphs. A new extension, called the assortative configuration model, is proposed. The main results of this chapter are theorems describing the large graph asymptotics of this new assortative configuration model, including a proof of the locally tree-like property. Finally, measures of network structure are surveyed.","2016","2024-02-04 15:24:57","2024-02-04 15:25:05","2024-02-04 15:24:56","45-70","","","","","","","SpringerBriefs in Quantitative Finance","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-33930-6_3","","","","","Network topology; Assortativity; Configuration graph; Counterparty network; Inhomogeneous random graph; Large graph asymptotics; Locally tree-like; Random graph simulation; Skeleton","Hurd, T. R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVG2Y6U8","journalArticle","1978","Bender, Edward A; Canfield, E. Rodney","The asymptotic number of labeled graphs with given degree sequences","Journal of Combinatorial Theory, Series A","","0097-3165","10.1016/0097-3165(78)90059-6","https://www.sciencedirect.com/science/article/pii/0097316578900596","Asymptotics are obtained for the number of n × n symmetric non-negative integer matrices subject to the following constraints: (i) each row sum is specified and bounded, (ii) the entries are bounded, and (iii) a specified “sparse” set of entries must be zero. The result can be interpreted in terms of incidence matrices for labeled graphs.","1978-05-01","2024-02-04 15:26:32","2024-02-04 15:26:32","2024-02-04 15:26:32","296-307","","3","24","","Journal of Combinatorial Theory, Series A","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\maroa\Zotero\storage\LUSHRLCM\Bender and Canfield - 1978 - The asymptotic number of labeled graphs with given.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6LTWGTQJ","journalArticle","1980","Bollobás, Béla","A Probabilistic Proof of an Asymptotic Formula for the Number of Labelled Regular Graphs","European Journal of Combinatorics","","0195-6698","10.1016/S0195-6698(80)80030-8","https://www.sciencedirect.com/science/article/pii/S0195669880800308","Let Δ and n be natural numbers such that Δn = 2m is even and Δ ⩽ (2 log n )1/2 - 1. Then as n →, the number of labelled Δ-regular graphs on n vertices is asymptotic to e−λ−λ2(2m)!m!2m(Δ!)m where λ = (Δ -1)/2. As a consequence of the method we determine the asymptotic distribution of the number of short cycles in graphs with a given degree sequence, and give analogous formulae for hypergraphs.","1980-12-01","2024-02-04 15:28:37","2024-02-04 15:28:37","2024-02-04 15:28:37","311-316","","4","1","","European Journal of Combinatorics","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\maroa\Zotero\storage\FEWUUJQ2\Bollobás - 1980 - A Probabilistic Proof of an Asymptotic Formula for.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TX68EE5J","journalArticle","2003","Furfine, Craig H.","Interbank Exposures: Quantifying the Risk of Contagion","Journal of Money, Credit and Banking","","0022-2879","","https://www.jstor.org/stable/3649847","This paper examines the degree to which the failure of one bank would cause the subsequent collapse of other banks. Using unique data on interbank payment flows, the magnitude of bilateral federal funds exposures is quantified. These exposures are used to simulate the impact of various failure scenarios, and the risk of contagion is found to be economically small.","2003","2024-02-04 15:46:17","2024-02-04 15:46:26","2024-02-04 15:46:17","111-128","","1","35","","","Interbank Exposures","","","","","","","","","","","","JSTOR","","Publisher: [Wiley, Ohio State University Press]","","C:\Users\maroa\Zotero\storage\C7YGJKK7\Furfine - 2003 - Interbank Exposures Quantifying the Risk of Conta.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MS32GUW","journalArticle","2021","Weng, Tongfeng; Wang, Haiying; Yang, Huijie; Gu, Changgui; Zhang, Jie; Small, Michael","Representing complex networks without connectivity via spectrum series","Information Sciences","","0020-0255","10.1016/j.ins.2021.01.067","https://www.sciencedirect.com/science/article/pii/S0020025521001055","We propose a new paradigm for describing complex networks in terms of the spectrum of the adjacency matrix and its submatrices. We show that a variety of basic node information, such as degree, clique, and subgraph centrality, can be calculated analytically. Moreover, we find that energy of spectrum series can uncover randomness and complexity of network structure. Interestingly, it presents an universal linear growth pattern with the growth of networks. Furthermore, the spectrum series of synthetic and real networks present clearly self-similarity characteristics for which the associated scaling exponents remain constant. Our work reveals that spectrum series representation will provide an alternative perspective for studying and understanding structure and function of complex networks rather than connectivity.","2021-07-01","2024-02-04 18:56:04","2024-02-04 18:56:07","2024-02-04 18:56:04","16-22","","","563","","Information Sciences","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\maroa\Zotero\storage\25TR3FG9\Weng et al. - 2021 - Representing complex networks without connectivity.pdf","","","Complex networks; Detrended fluctuation analysis; Energy; Spectrum series","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZD2JMQQ","journalArticle","2019","Lyócsa, Štefan; Výrost, Tomáš; Baumöhl, Eduard","Return spillovers around the globe: A network approach","Economic Modelling","","0264-9993","10.1016/j.econmod.2017.11.003","https://www.sciencedirect.com/science/article/pii/S0264999317310519","We study the connectedness of a sample of 40 stock markets across five continents using daily closing prices and return spillovers based on Granger causality. All possible 1560 return spillovers between 40 markets create a complex network of relationships between equity markets around the world. Apart from analyzing the topological and time-varying properties of the created networks, we also identify the determinants of the connectedness of equity markets over time. Adjusting for non-synchronous trading, our modelling approach leads to evidence that the probability of return spillover from a given stock market to other markets increases with market volatility and market size and decreases with higher foreign exchange volatility. We empirically show that the temporal proximity between closing hours is important for information propagation; therefore, choosing markets that trade during similar hours bears an additional risk to investors because the probability of return spillovers increases.","2019-03-01","2024-02-04 19:59:06","2024-02-04 19:59:09","2024-02-04 19:59:06","133-146","","","77","","Economic Modelling","Return spillovers around the globe","","","","","","","","","","","","ScienceDirect","","","","C:\Users\maroa\Zotero\storage\RL8U2I52\1-s2.0-S0264999317310519-main.pdf; C:\Users\maroa\Zotero\storage\Q5RRXWSZ\Lyócsa et al. - 2019 - Return spillovers around the globe A network appr.pdf","","","Spillovers; Networks; Non-synchronicity; Preferential attachment; Stock market; Temporal proximity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
